,phrase,label,sentiment,subjectivity,language,count
192.5 mm,192.5 mm,QUANTITY,,,en,1.0
189.5 mm,189.5 mm,QUANTITY,,,en,1.0
5.2%,5.2%,PERCENT,,,en,1.0
the Constitution Day holiday,the Constitution Day holiday,EVENT,,,en,1.0
over 100,over 100,CARDINAL,,,en,1.0
166.5 mm,166.5 mm,QUANTITY,,,en,1.0
"Approximately 5,000","Approximately 5,000",CARDINAL,,,en,1.0
223 mm,223 mm,QUANTITY,,,en,1.0
477,477,CARDINAL,,,en,1.0
around 10 a.m.,around 10 a.m.,TIME,,,en,1.0
60s,60s,DATE,,,en,1.0
last week,last week,DATE,,,en,1.0
200 million won,200 million won,MONEY,,,en,1.0
the 8th to the 10th,the 8th to the 10th,DATE,,,en,1.0
the Beon-dong Police Station,the Beon-dong Police Station,FAC,,,en,1.0
around 10:33 pm on the 14th,around 10:33 pm on the 14th,TIME,,,en,1.0
1986,1986,DATE,,,en,1.0
1992,1992,DATE,,,en,1.0
295 million won,295 million won,MONEY,,,en,1.0
KRW 295 million,KRW 295 million,MONEY,,,en,1.0
Jewish,Jewish,NORP,,,en,1.0
"July 17, 2026","July 17, 2026",DATE,,,en,1.0
up to 250 mm,up to 250 mm,QUANTITY,,,en,1.0
Expressway Interchange,Expressway Interchange,FAC,,,en,1.0
up to 300 mm,up to 300 mm,QUANTITY,,,en,1.0
the Susuk Stream,the Susuk Stream,FAC,,,en,1.0
1:30 p.m.,1:30 p.m.,TIME,,,en,1.0
the Hunminjeongeum Haeryebon,the Hunminjeongeum Haeryebon,PRODUCT,,,en,1.0
the Daegu Ring Expressway,the Daegu Ring Expressway,FAC,,,en,1.0
Jamsil Stadium,Jamsil Stadium,FAC,,,en,1.0
179.0 mm,179.0 mm,QUANTITY,,,en,1.0
159.5 mm,159.5 mm,QUANTITY,,,en,1.0
"1,044","1,044",CARDINAL,,,en,1.0
about 30 years ago,about 30 years ago,DATE,,,en,1.0
Peruvian,Peruvian,NORP,,,en,1.0
at least 5,at least 5,CARDINAL,,,en,1.0
5.5,5.5,CARDINAL,,,en,1.0
at least five,at least five,CARDINAL,,,en,1.0
over 30 years,over 30 years,DATE,,,en,1.0
9:24 p.m.,9:24 p.m.,TIME,,,en,1.0
the end of July,the end of July,DATE,,,en,1.0
the Pax nuclear power plant,the Pax nuclear power plant,FAC,,,en,1.0
44 years,44 years,DATE,,,en,1.0
German,German,NORP,,,en,1.0
40 degree,40 degree,QUANTITY,,,en,1.0
'Michelin Primacy 5','Michelin Primacy 5',EVENT,,,en,1.0
Saturday-Sunday,Saturday-Sunday,DATE,,,en,1.0
similar days,similar days,DATE,,,en,1.0
about 5 trillion won,about 5 trillion won,MONEY,,,en,1.0
3%,3%,PERCENT,,,en,1.0
3.1 billion euros,3.1 billion euros,MONEY,,,en,1.0
Thousands,Thousands,CARDINAL,,,en,1.0
The Avignon Festival,The Avignon Festival,EVENT,,,en,1.0
5 trillion won,5 trillion won,MONEY,,,en,1.0
KRW 5 trillion,KRW 5 trillion,MONEY,,,en,1.0
the 30th of last month,the 30th of last month,DATE,,,en,1.0
"July 21, 2026","July 21, 2026",DATE,,,en,1.0
only five,only five,CARDINAL,,,en,1.0
around 7:40 pm the previous day,around 7:40 pm the previous day,TIME,,,en,1.0
Shiruseom Suspension Bridge,Shiruseom Suspension Bridge,FAC,,,en,1.0
"2,417","2,417",CARDINAL,,,en,1.0
around 9:10 a.m. on the 17th,around 9:10 a.m. on the 17th,TIME,,,en,1.0
37 degrees Celsius,37 degrees Celsius,QUANTITY,,,en,1.0
Coupang 32 Logistics Center,Coupang 32 Logistics Center,FAC,,,en,1.0
Seoknam-dong,Seoknam-dong,FAC,0.057142857142857134,0.2642857142857143,en,1.0
about one-tenth,about one-tenth,CARDINAL,,,en,1.0
50-60mm,50-60mm,QUANTITY,,,en,1.0
700,700,CARDINAL,,,en,1.0
the night of the 17th,the night of the 17th,TIME,,,en,1.0
708,708,CARDINAL,,,en,1.0
the night,the night,TIME,,,en,1.0
before to this afternoon,before to this afternoon,TIME,,,en,1.0
this afternoon,this afternoon,TIME,,,en,1.0
only 30 to 40 days,only 30 to 40 days,DATE,,,en,1.0
365 days,365 days,DATE,,,en,1.0
38,38,CARDINAL,,,en,1.0
71mm,71mm,QUANTITY,,,en,1.0
year-end,year-end,DATE,,,en,1.0
the 17th to the 19th,the 17th to the 19th,DATE,,,en,1.0
as of 5 a.m.,as of 5 a.m.,TIME,,,en,1.0
43.3 mm,43.3 mm,QUANTITY,,,en,1.0
Thirst,Thirst,PRODUCT,,,en,1.0
2 liters,2 liters,QUANTITY,,,en,1.0
1 as of 11:10 a.m.,1 as of 11:10 a.m.,TIME,,,en,1.0
Mars Exploration Rover Curiosity,Mars Exploration Rover Curiosity,PRODUCT,,,en,1.0
Five Basic Rules for Heat Wave Safety,Five Basic Rules for Heat Wave Safety,WORK_OF_ART,,,en,1.0
'Coffee Market,'Coffee Market,WORK_OF_ART,,,en,1.0
the Nogodan Shelter,the Nogodan Shelter,FAC,,,en,1.0
the hottest year,the hottest year,DATE,,,en,1.0
this fall,this fall,DATE,,,en,1.0
more than 2 degrees,more than 2 degrees,CARDINAL,,,en,1.0
more than three months,more than three months,DATE,,,en,1.0
November this year,November this year,DATE,,,en,1.0
Swing Your Dream,Swing Your Dream,WORK_OF_ART,,,en,1.0
Golf Zone Pastel Choir,Golf Zone Pastel Choir,WORK_OF_ART,,,en,1.0
about 60,about 60,CARDINAL,,,en,1.0
Golfzon Tower,Golfzon Tower,FAC,,,en,1.0
five years this year,five years this year,DATE,,,en,1.0
7 am on the 12th,7 am on the 12th,TIME,,,en,1.0
this weekend,this weekend,DATE,,,en,1.0
midday,midday,TIME,,,en,1.0
about 30%,about 30%,PERCENT,,,en,1.0
48 hours,48 hours,TIME,,,en,1.0
January 20th,January 20th,DATE,,,en,1.0
23,23,CARDINAL,,,en,1.0
350,350,CARDINAL,,,en,1.0
the beginning of the year,the beginning of the year,DATE,,,en,1.0
the end of the year,the end of the year,DATE,,,en,1.0
2 degrees,2 degrees,QUANTITY,,,en,1.0
April,April,DATE,,,en,1.0
the middle of this year,the middle of this year,DATE,,,en,1.0
5 days,5 days,DATE,,,en,1.0
‘Summer,‘Summer,DATE,,,en,1.0
the Daegu Citizen Health Playground,the Daegu Citizen Health Playground,FAC,,,en,1.0
Cheongju City Hall Building,Cheongju City Hall Building,FAC,,,en,1.0
25,25,CARDINAL,,,en,1.0
Squid Game,Squid Game,WORK_OF_ART,,,en,1.0
"about 42,000","about 42,000",CARDINAL,,,en,1.0
2.1 million,2.1 million,CARDINAL,,,en,1.0
the Dongbu Main Road,the Dongbu Main Road,FAC,,,en,1.0
73,73,CARDINAL,,,en,1.0
AI)-based,AI)-based,CARDINAL,,,en,1.0
17,17,CARDINAL,,,en,1.0
May to September,May to September,DATE,,,en,1.0
the past 11 years,the past 11 years,DATE,,,en,1.0
the afternoon of the 11th,the afternoon of the 11th,TIME,,,en,1.0
the 4th week,the 4th week,DATE,,,en,1.0
April 15,April 15,DATE,,,en,1.0
May 14,May 14,DATE,,,en,1.0
May 15 to October 15,May 15 to October 15,DATE,,,en,1.0
100,100,CARDINAL,,,en,1.0
one month,one month,DATE,,,en,1.0
Wolgye 1 Bridge,Wolgye 1 Bridge,FAC,,,en,1.0
1.04 billion tons,1.04 billion tons,QUANTITY,,,en,1.0
"approximately 240,000","approximately 240,000",CARDINAL,,,en,1.0
July 17 last year,July 17 last year,DATE,,,en,1.0
Sindaebang Bridge 1,Sindaebang Bridge 1,FAC,,,en,1.0
1 a.m.,1 a.m.,TIME,,,en,1.0
the Yeonhacheon Shelter,the Yeonhacheon Shelter,FAC,,,en,1.0
the third day,the third day,DATE,,,en,1.0
A typhoon in a teacup with no room left.,A typhoon in a teacup with no room left.,WORK_OF_ART,,,en,1.0
Facebook,Facebook,PRODUCT,,,en,1.0
a media day,a media day,DATE,,,en,1.0
Gwangnaru Park,Gwangnaru Park,FAC,,,en,1.0
Gangseo Park,Gangseo Park,FAC,,,en,1.0
"1,487,374","1,487,374",CARDINAL,,,en,1.0
"8,955,106","8,955,106",CARDINAL,,,en,1.0
"1,250","1,250",CARDINAL,,,en,1.0
December,December,DATE,,,en,1.0
010-7749,010-7749,CARDINAL,,,en,1.0
the past 50 years,the past 50 years,DATE,,,en,1.0
Last winter,Last winter,DATE,,,en,1.0
6010m,6010m,QUANTITY,,,en,1.0
The summer of 2025,The summer of 2025,DATE,,,en,1.0
25.7,25.7,CARDINAL,,,en,1.0
the average year,the average year,DATE,,,en,1.0
18.7,18.7,CARDINAL,,,en,1.0
the 1st to the 12th of next month,the 1st to the 12th of next month,DATE,,,en,1.0
between 2 p.m. and 5 p.m.,between 2 p.m. and 5 p.m.,TIME,,,en,1.0
352,352,CARDINAL,,,en,1.0
34.7 degrees,34.7 degrees,QUANTITY,,,en,1.0
34.8 degrees,34.8 degrees,QUANTITY,,,en,1.0
the Uruk Canal,the Uruk Canal,FAC,,,en,1.0
Ioniq Drone Station,Ioniq Drone Station,FAC,,,en,1.0
the next three years,the next three years,DATE,,,en,1.0
the coming weeks,the coming weeks,DATE,,,en,1.0
2007,2007,DATE,,,en,1.0
3 years,3 years,DATE,,,en,1.0
Five,Five,CARDINAL,,,en,1.0
September to December,September to December,DATE,,,en,1.0
August 22nd last year,August 22nd last year,DATE,,,en,1.0
the ‘hottest year,the ‘hottest year,DATE,,,en,1.0
another year,another year,DATE,,,en,1.0
8:20:55 a.m.,8:20:55 a.m.,TIME,,,en,1.0
116km,116km,QUANTITY,,,en,1.0
33.15 degrees,33.15 degrees,QUANTITY,,,en,1.0
124.96 degrees,124.96 degrees,QUANTITY,,,en,1.0
mid-summer,mid-summer,DATE,,,en,1.0
the hot season,the hot season,DATE,,,en,1.0
the end of this month,the end of this month,DATE,,,en,1.0
50 minutes,50 minutes,TIME,,,en,1.0
15 minutes,15 minutes,TIME,,,en,1.0
1 million to 4 million,1 million to 4 million,MONEY,,,en,1.0
up to 8 hours,up to 8 hours,TIME,,,en,1.0
4 million,4 million,CARDINAL,,,en,1.0
1 million to 2 million,1 million to 2 million,CARDINAL,,,en,1.0
Hwadam Forest',Hwadam Forest',FAC,,,en,1.0
Gonjiam,Gonjiam,NORP,,,en,1.0
1300km,1300km,QUANTITY,,,en,1.0
"1,300 km","1,300 km",QUANTITY,,,en,1.0
Mars Exploration Rover,Mars Exploration Rover,PRODUCT,,,en,1.0
the Jiri Mountain Trail,the Jiri Mountain Trail,FAC,,,en,1.0
one o'clock,one o'clock,TIME,,,en,1.0
Frozen Border: Nyx,Frozen Border: Nyx,WORK_OF_ART,,,en,1.0
May 20,May 20,DATE,,,en,1.0
Sky Spike',Sky Spike',FAC,,,en,1.0
"690,000 won","690,000 won",QUANTITY,,,en,1.0
Brazilian,Brazilian,NORP,,,en,1.0
May 26th,May 26th,DATE,,,en,1.0
"May 26, 2024","May 26, 2024",DATE,,,en,1.0
Seoul Drum Festival,Seoul Drum Festival,EVENT,,,en,1.0
two years,two years,DATE,,,en,1.0
every two weeks,every two weeks,DATE,,,en,1.0
seven,seven,CARDINAL,,,en,1.0
up to four,up to four,CARDINAL,,,en,1.0
"approximately 2,500 km","approximately 2,500 km",QUANTITY,,,en,1.0
Moroccan,Moroccan,NORP,,,en,1.0
4167m,4167m,QUANTITY,,,en,1.0
New Forest Wealth of a Nation Theory',New Forest Wealth of a Nation Theory',WORK_OF_ART,,,en,1.0
63%,63%,PERCENT,,,en,1.0
around 12:29 p.m. on the 25th,around 12:29 p.m. on the 25th,TIME,,,en,1.0
48,48,CARDINAL,,,en,1.0
only about 500 meters,only about 500 meters,QUANTITY,,,en,1.0
the 1970s,the 1970s,DATE,,,en,1.0
Asian,Asian,NORP,,,en,1.0
Development of hometown with mother and daughter-in-law,Development of hometown with mother and daughter-in-law,WORK_OF_ART,,,en,1.0
the Tongil-ro Memorial Park,the Tongil-ro Memorial Park,FAC,,,en,1.0
Friends of Mountains and Nature,Friends of Mountains and Nature,WORK_OF_ART,,,en,1.0
last December,last December,DATE,,,en,1.0
around 5:33 p.m.,around 5:33 p.m.,TIME,,,en,1.0
around 1:12 p.m.,around 1:12 p.m.,TIME,,,en,1.0
67,67,CARDINAL,,,en,1.0
approximately 1:53 p.m.,approximately 1:53 p.m.,TIME,,,en,1.0
about 13,about 13,CARDINAL,,,en,1.0
9.44 billion,9.44 billion,MONEY,,,en,1.0
38.92,38.92,CARDINAL,,,en,1.0
around 4:10 p.m. on the 27th,around 4:10 p.m. on the 27th,TIME,,,en,1.0
156,156,CARDINAL,,,en,1.0
around 5:40 p.m.,around 5:40 p.m.,TIME,,,en,1.0
Intervention in presidential election,Intervention in presidential election,WORK_OF_ART,,,en,1.0
all morning,all morning,TIME,,,en,1.0
The last day of April,The last day of April,DATE,,,en,1.0
Thursday the 30th,Thursday the 30th,DATE,,,en,1.0
17 to 23 degrees,17 to 23 degrees,QUANTITY,,,en,1.0
15 degrees,15 degrees,QUANTITY,,,en,1.0
FutureNet,FutureNet,PRODUCT,,,en,1.0
season 2,season 2,DATE,,,en,1.0
The Inspire exhibition hall,The Inspire exhibition hall,WORK_OF_ART,,,en,1.0
'Le Space','Le Space',WORK_OF_ART,,,en,1.0
the Inspire Entertainment Resort,the Inspire Entertainment Resort,FAC,,,en,1.0
Le Space Season,Le Space Season,EVENT,,,en,1.0
the 1st of next month,the 1st of next month,DATE,,,en,1.0
"6,142","6,142",CARDINAL,,,en,1.0
more than several weeks,more than several weeks,DATE,,,en,1.0
the second half,the second half,DATE,,,en,1.0
3 hours,3 hours,TIME,,,en,1.0
nearly 70%,nearly 70%,PERCENT,,,en,1.0
about 50,about 50,CARDINAL,,,en,1.0
18th,18th,ORDINAL,,,en,1.0
the Press Center,the Press Center,FAC,,,en,1.0
Beep beep,Beep beep,WORK_OF_ART,,,en,1.0
morning,morning,TIME,,,en,1.0
a spring day,a spring day,DATE,,,en,1.0
last Thursday,last Thursday,DATE,,,en,1.0
138 minutes → 51 minutes,138 minutes → 51 minutes,TIME,,,en,1.0
3.1,3.1,CARDINAL,,,en,1.0
0.2,0.2,CARDINAL,,,en,1.0
'2026,'2026,DATE,,,en,1.0
approximately 6:50 p.m.,approximately 6:50 p.m.,TIME,,,en,1.0
Around 6:50 p.m. on the 21st,Around 6:50 p.m. on the 21st,TIME,,,en,1.0
about 20,about 20,CARDINAL,,,en,1.0
6:10 a.m.,6:10 a.m.,TIME,,,en,1.0
10:30 am,10:30 am,TIME,,,en,1.0
90,90,CARDINAL,,,en,1.0
0.7 m,0.7 m,QUANTITY,,,en,1.0
minutes,minutes,TIME,,,en,1.0
2026-2030,2026-2030,DATE,,,en,1.0
Future M Nature Guard Day',Future M Nature Guard Day',WORK_OF_ART,,,en,1.0
about 40,about 40,CARDINAL,,,en,1.0
the afternoon of the 22nd,the afternoon of the 22nd,TIME,,,en,1.0
around 6:58 p.m.,around 6:58 p.m.,TIME,,,en,1.0
April 28th,April 28th,DATE,,,en,1.0
Every year,Every year,DATE,,,en,1.0
the year,the year,DATE,,,en,1.0
28,28,CARDINAL,,,en,1.0
Sinjin Port,Sinjin Port,FAC,,,en,1.0
70%,70%,PERCENT,,,en,1.0
exhibition&mid,exhibition&mid,WORK_OF_ART,,,en,1.0
the Korean War,the Korean War,EVENT,,,en,1.0
2014,2014,DATE,,,en,1.0
July 30th last year,July 30th last year,DATE,,,en,1.0
hundreds of meters,hundreds of meters,QUANTITY,,,en,1.0
Alaskan,Alaskan,NORP,,,en,1.0
as few as dozens or as many as hundreds,as few as dozens or as many as hundreds,CARDINAL,,,en,1.0
less than 70%,less than 70%,PERCENT,,,en,1.0
10 to 40%,10 to 40%,PERCENT,,,en,1.0
44%,44%,PERCENT,,,en,1.0
'2026 AI Expo','2026 AI Expo',EVENT,,,en,1.0
the Basic Life Safety Act,the Basic Life Safety Act,LAW,,,en,1.0
May 7,May 7,DATE,,,en,1.0
The Framework Act,The Framework Act,LAW,,,en,1.0
12 years,12 years,DATE,,,en,1.0
the Sewol Ferry,the Sewol Ferry,PRODUCT,,,en,1.0
six years,six years,DATE,,,en,1.0
the Synthetic Aperture Radar,the Synthetic Aperture Radar,PRODUCT,,,en,1.0
five-year,five-year,DATE,,,en,1.0
2006,2006,DATE,,,en,1.0
Norwegian,Norwegian,NORP,,,en,1.0
"about 1,500 years ago","about 1,500 years ago",DATE,,,en,1.0
about 6 cm,about 6 cm,QUANTITY,,,en,1.0
the 6th century,the 6th century,DATE,,,en,1.0
Yeouido Park,Yeouido Park,FAC,,,en,1.0
6 to 12 degrees,6 to 12 degrees,QUANTITY,,,en,1.0
27 degrees,27 degrees,QUANTITY,,,en,1.0
14 degrees,14 degrees,QUANTITY,,,en,1.0
24 degrees,24 degrees,QUANTITY,,,en,1.0
15 to 20,15 to 20,CARDINAL,,,en,1.0
just half a century ago,just half a century ago,DATE,,,en,1.0
35 cm,35 cm,QUANTITY,,,en,1.0
35cm,35cm,QUANTITY,,,en,1.0
Korea Satellite No,Korea Satellite No,WORK_OF_ART,,,en,1.0
the Hwangtot Road,the Hwangtot Road,FAC,,,en,1.0
3:59 pm,3:59 pm,TIME,,,en,1.0
the past 30 days,the past 30 days,DATE,,,en,1.0
27,27,CARDINAL,,,en,1.0
"3,000","3,000",CARDINAL,,,en,1.0
34%,34%,PERCENT,,,en,1.0
March 30,March 30,DATE,,,en,1.0
"more than 3,000","more than 3,000",CARDINAL,,,en,1.0
January,January,DATE,,,en,1.0
12.3-12.7,12.3-12.7,QUANTITY,,,en,1.0
March 2026,March 2026,DATE,,,en,1.0
1.3,1.3,CARDINAL,,,en,1.0
months,months,DATE,,,en,1.0
9 consecutive years,9 consecutive years,DATE,,,en,1.0
Guntan Park Red Clay Road',Guntan Park Red Clay Road',FAC,,,en,1.0
Forest,Forest,WORK_OF_ART,0.0,0.0,en,1.0
the Red Clay Road,the Red Clay Road,FAC,,,en,1.0
Guntan Park,Guntan Park,FAC,0.0,0.25,en,1.0
November 2024,November 2024,DATE,,,en,1.0
only 67%,only 67%,PERCENT,,,en,1.0
60%,60%,PERCENT,,,en,1.0
rainy season next month,rainy season next month,DATE,,,en,1.0
Last year's,Last year's,DATE,,,en,1.0
only 66%,only 66%,PERCENT,,,en,1.0
only around 60%,only around 60%,PERCENT,,,en,1.0
"6,781","6,781",CARDINAL,,,en,1.0
"10,135","10,135",CARDINAL,,,en,1.0
66.9%,66.9%,PERCENT,,,en,1.0
the end of April,the end of April,DATE,,,en,1.0
300,300,CARDINAL,,,en,1.0
4227,4227,CARDINAL,,,en,1.0
Third,Third,ORDINAL,,,en,1.0
Black Tuesday,Black Tuesday,EVENT,,,en,1.0
October,October,DATE,,,en,1.0
The Yellow Envelope Act,The Yellow Envelope Act,LAW,,,en,1.0
over 100 days,over 100 days,DATE,,,en,1.0
439,439,CARDINAL,,,en,1.0
256,256,CARDINAL,,,en,1.0
the 100th day,the 100th day,DATE,,,en,1.0
Revised Labor Union Act,Revised Labor Union Act,LAW,,,en,1.0
Status of Negotiation Requests,Status of Negotiation Requests,LAW,,,en,1.0
Wednesday the 24th,Wednesday the 24th,DATE,,,en,1.0
14 to 20 degrees,14 to 20 degrees,QUANTITY,,,en,1.0
28 degrees,28 degrees,QUANTITY,,,en,1.0
26 degrees,26 degrees,QUANTITY,,,en,1.0
June 24th,June 24th,DATE,,,en,1.0
hundreds of trillions,hundreds of trillions,MONEY,,,en,1.0
Daybreak,Daybreak,WORK_OF_ART,,,en,1.0
2030,2030,DATE,,,en,1.0
15 trillion won,15 trillion won,MONEY,,,en,1.0
2026 summer,2026 summer,DATE,,,en,1.0
280.85km,280.85km,QUANTITY,,,en,1.0
98.0,98.0,CARDINAL,,,en,1.0
Pyeongtaek Port,Pyeongtaek Port,FAC,,,en,1.0
four consecutive months,four consecutive months,DATE,,,en,1.0
last year’s,last year’s,DATE,,,en,1.0
Mowing work will be,Mowing work will be,WORK_OF_ART,,,en,1.0
the summer rainy season,the summer rainy season,DATE,,,en,1.0
the FIFA Fan Festival,the FIFA Fan Festival,EVENT,,,en,1.0
the 2026 FIFA North,the 2026 FIFA North,EVENT,,,en,1.0
this World Cup,this World Cup,EVENT,,,en,1.0
Recognition,Recognition,WORK_OF_ART,,,en,1.0
winter,winter,DATE,,,en,1.0
Approximately 17%,Approximately 17%,PERCENT,,,en,1.0
Friday the 19th,Friday the 19th,DATE,,,en,1.0
210 meters,210 meters,QUANTITY,,,en,1.0
about 210 meters,about 210 meters,QUANTITY,,,en,1.0
Cheongyang Jicheon Dam,Cheongyang Jicheon Dam,WORK_OF_ART,,,en,1.0
Buyeo Jicheon Dam,Buyeo Jicheon Dam,FAC,,,en,1.0
the morning of the 18th,the morning of the 18th,TIME,,,en,1.0
767 days,767 days,DATE,,,en,1.0
Jiri Mountain,Jiri Mountain,FAC,0.0,0.0,en,1.0
four months,four months,DATE,,,en,1.0
100 days,100 days,DATE,,,en,1.0
Trade Union Act,Trade Union Act,LAW,,,en,1.0
100th day,100th day,DATE,,,en,1.0
NAVISS Bridge',NAVISS Bridge',FAC,,,en,1.0
Seoul Plaza,Seoul Plaza,FAC,,,en,1.0
CCW,CCW,PRODUCT,,,en,1.0
every summer,every summer,DATE,,,en,1.0
the end of last year,the end of last year,DATE,,,en,1.0
the end of August last year,the end of August last year,DATE,,,en,1.0
500,500,CARDINAL,,,en,1.0
"about 1,100 km","about 1,100 km",QUANTITY,,,en,1.0
49,49,CARDINAL,,,en,1.0
The Furnishing:,The Furnishing:,WORK_OF_ART,,,en,1.0
about 5 years,about 5 years,DATE,,,en,1.0
2021,2021,DATE,,,en,1.0
Operation Alpha's Descent',Operation Alpha's Descent',FAC,,,en,1.0
Furnishing: Gray Raven',Furnishing: Gray Raven',WORK_OF_ART,,,en,1.0
"2,783.89","2,783.89",CARDINAL,,,en,1.0
KRW 6.9597 trillion,KRW 6.9597 trillion,PRODUCT,,,en,1.0
KOSDAQ,KOSDAQ,PRODUCT,,,en,1.0
​​approximately 5.2 million,​​approximately 5.2 million,MONEY,,,en,1.0
up to 50%,up to 50%,PERCENT,,,en,1.0
the start of June,the start of June,DATE,,,en,1.0
Grand Park,Grand Park,FAC,,,en,1.0
▲ Potatoes,▲ Potatoes,WORK_OF_ART,,,en,1.0
season,season,DATE,,,en,1.0
Dry rainy season,Dry rainy season,DATE,,,en,1.0
Late rainy season,Late rainy season,DATE,,,en,1.0
around June 20th,around June 20th,DATE,,,en,1.0
the start of the rainy season,the start of the rainy season,DATE,,,en,1.0
Sang-min Sang-min,Sang-min Sang-min,PRODUCT,,,en,1.0
"50,000","50,000",CARDINAL,,,en,1.0
only 72 golden hours,only 72 golden hours,TIME,,,en,1.0
126 years,126 years,DATE,,,en,1.0
at least 920,at least 920,CARDINAL,,,en,1.0
"more than 51,000","more than 51,000",CARDINAL,,,en,1.0
30 years,30 years,DATE,,,en,1.0
More than 900,More than 900,CARDINAL,,,en,1.0
87 degrees,87 degrees,QUANTITY,,,en,1.0
London Heathrow Airport,London Heathrow Airport,FAC,,,en,1.0
Gatwick Airport,Gatwick Airport,FAC,,,en,1.0
up to 11 hours,up to 11 hours,TIME,,,en,1.0
"more than 1,000","more than 1,000",CARDINAL,,,en,1.0
235,235,CARDINAL,,,en,1.0
Hinnamno,Hinnamno,WORK_OF_ART,,,en,1.0
the 18th and 1st,the 18th and 1st,DATE,,,en,1.0
"June 30, 2026","June 30, 2026",DATE,,,en,1.0
the 1980s,the 1980s,DATE,,,en,1.0
millions of years,millions of years,DATE,,,en,1.0
the summer vacation season,the summer vacation season,DATE,,,en,1.0
"More than 1,700","More than 1,700",CARDINAL,,,en,1.0
416,416,CARDINAL,,,en,1.0
about 95%,about 95%,PERCENT,,,en,1.0
36m,36m,QUANTITY,,,en,1.0
the hottest day,the hottest day,DATE,,,en,1.0
the morning of the 25th,the morning of the 25th,TIME,,,en,1.0
1947,1947,DATE,,,en,1.0
42.1 degrees,42.1 degrees,QUANTITY,,,en,1.0
day,day,DATE,,,en,1.0
PUBG Nations Cup 2026,PUBG Nations Cup 2026,EVENT,,,en,1.0
the PUBG National Competition,the PUBG National Competition,EVENT,,,en,1.0
PUBG Nations Cup,PUBG Nations Cup,WORK_OF_ART,,,en,1.0
Jangchung Gymnasium,Jangchung Gymnasium,FAC,,,en,1.0
the 26th to the 28th,the 26th to the 28th,DATE,,,en,1.0
PNC 2026,PNC 2026,FAC,,,en,1.0
10 minutes,10 minutes,TIME,,,en,1.0
3 days,3 days,DATE,,,en,1.0
"approximately 5,000","approximately 5,000",CARDINAL,,,en,1.0
98.8,98.8,CARDINAL,,,en,1.0
the afternoon of the 24th,the afternoon of the 24th,TIME,,,en,1.0
15m,15m,QUANTITY,,,en,1.0
between July and August,between July and August,DATE,,,en,1.0
Shake,Shake,WORK_OF_ART,,,en,1.0
less than a minute,less than a minute,TIME,,,en,1.0
the South American,the South American,NORP,,,en,1.0
about 2 cm,about 2 cm,QUANTITY,,,en,1.0
90 minutes,90 minutes,TIME,,,en,1.0
June 26,June 26,DATE,,,en,1.0
Frame War,Frame War,EVENT,,,en,1.0
32,32,CARDINAL,,,en,1.0
"up to 100,000","up to 100,000",CARDINAL,,,en,1.0
about three months,about three months,DATE,,,en,1.0
about 20 years,about 20 years,DATE,,,en,1.0
7.2,7.2,CARDINAL,,,en,1.0
the third year this year,the third year this year,DATE,,,en,1.0
Carcom,Carcom,NORP,,,en,1.0
the Conrad Hotel,the Conrad Hotel,FAC,,,en,1.0
World Cup',World Cup',EVENT,,,en,1.0
the hot summer months,the hot summer months,DATE,,,en,1.0
"June 10, 2026] Early summer","June 10, 2026] Early summer",DATE,,,en,1.0
At least 41,At least 41,CARDINAL,,,en,1.0
at least 41,at least 41,CARDINAL,,,en,1.0
mid-July,mid-July,DATE,,,en,1.0
up to 380 mm,up to 380 mm,QUANTITY,,,en,1.0
July 16th to 20th,July 16th to 20th,DATE,,,en,1.0
803,803,CARDINAL,,,en,1.0
453,453,CARDINAL,,,en,1.0
nearly a year,nearly a year,DATE,,,en,1.0
Cheering for the Czech Republic,Cheering for the Czech Republic,WORK_OF_ART,,,en,1.0
Friday morning,Friday morning,TIME,,,en,1.0
the World Cup street viewing event,the World Cup street viewing event,EVENT,,,en,1.0
the Czech World Cup,the Czech World Cup,EVENT,,,en,1.0
Daejeon City Hall Station,Daejeon City Hall Station,FAC,,,en,1.0
11 days in a row,11 days in a row,DATE,,,en,1.0
21st-century,21st-century,DATE,,,en,1.0
A day,A day,DATE,,,en,1.0
one year and five months,one year and five months,DATE,,,en,1.0
15 to 29,15 to 29,DATE,,,en,1.0
"255,000","255,000",CARDINAL,,,en,1.0
"40,000","40,000",CARDINAL,,,en,1.0
"June 12, 2026","June 12, 2026",DATE,,,en,1.0
… Weekend,… Weekend,DATE,,,en,1.0
Hangang Park,Hangang Park,FAC,0.0,0.0,en,1.0
Friday,Friday,DATE,,,en,1.0
the afternoon to the evening,the afternoon to the evening,TIME,,,en,1.0
Korean Peninsula Super Typhoon Warning,Korean Peninsula Super Typhoon Warning,WORK_OF_ART,,,en,1.0
June 9,June 9,DATE,,,en,1.0
Jeju,Jeju,NORP,0.007024029574861372,0.019316081330868772,en,1.0
29,29,CARDINAL,,,en,1.0
53 years,53 years,DATE,,,en,1.0
"More than 3,000","More than 3,000",CARDINAL,,,en,1.0
the next four years,the next four years,DATE,,,en,1.0
Daily,Daily,DATE,,,en,1.0
the fall,the fall,DATE,,,en,1.0
more than 90%,more than 90%,PERCENT,,,en,1.0
seven years old,seven years old,DATE,,,en,1.0
every morning,every morning,TIME,,,en,1.0
seasons,seasons,DATE,,,en,1.0
