,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
the Kumamoto Prefecture,the Kumamoto Prefecture,LOC,0.00000000,0.00000000,en,1.00000000,,11265465,S,32.50178000,130.31592000,ASIA,Japan,EAS
the Gironde region,the Gironde region,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Ulsan Metropolitan City,Ulsan Metropolitan City,GPE,0.00000000,0.23333333,en,1.00000000,7674541-7,1833747,X,35.53721900,129.31666900,ASIA,South Korea,EAS
Gyoryeo,Gyoryeo,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Sejong-ro,Sejong-ro,GPE,-0.15555556,0.28888889,en,1.00000000,,0,,,,,,
Gunwi,Gunwi,GPE,-0.12500000,0.37500000,en,1.00000000,,1842015,A,36.16995000,128.64705000,ASIA,South Korea,EAS
Haman,Haman,GPE,0.00000000,0.25000000,en,1.00000000,,1844557,A,35.29117000,128.42970000,ASIA,South Korea,EAS
Gimhae,Gimhae,GPE,0.00000000,0.25000000,en,1.00000000,16057696-9,1842943,P,35.23417000,128.88111000,ASIA,South Korea,EAS
Gwangjin,Gwangjin,GPE,0.25000000,0.33333333,en,1.00000000,,8349529,A,37.53913000,127.08366000,ASIA,South Korea,EAS
the Imjin River,the Imjin River,LOC,-0.10000000,0.28333333,en,1.00000000,,0,,,,,,
Chongqing City,Chongqing City,GPE,0.00000000,0.00000000,en,1.00000000,,6747608,S,24.17070000,120.66350000,ASIA,Taiwan,EAS
the West Coast Expressway,the West Coast Expressway,LOC,-0.05555556,0.05555556,en,1.00000000,,4689739,P,26.11424000,-97.61332000,CENTRAL-AMERICA,United States,NCA
Florida,Florida,GPE,0.00000000,0.00000000,en,1.00000000,4017585-6,12217087,L,26.50000000,-81.00000000,NORTH-AMERICA,United States,ENA
Gijang,Gijang,GPE,0.46818182,0.67727273,en,1.00000000,,1842966,P,35.24417000,129.21389000,ASIA,South Korea,EAS
Mungyeong,Mungyeong,GPE,0.00000000,0.40000000,en,1.00000000,,1840886,P,36.59458000,128.19946000,ASIA,South Korea,EAS
Mt.,Mt.,LOC,0.00000000,0.06666667,en,1.00000000,,0,,,,,,
Los Angeles,Los Angeles,GPE,0.00000000,0.00000000,en,1.00000000,4036361-2,5368361,P,34.05223000,-118.24368000,NORTH-AMERICA,United States,WNA
San Francisco,San Francisco,GPE,0.00000000,0.00000000,en,1.00000000,4344631-0,3600949,P,14.08180000,-87.20681000,CENTRAL-AMERICA,Honduras,SCA
Atlanta,Atlanta,GPE,0.00000000,0.00000000,en,1.00000000,4086063-2,4180439,P,33.74900000,-84.38798000,NORTH-AMERICA,United States,ENA
Gwangpo Bay,Gwangpo Bay,LOC,-0.15000000,0.20000000,en,1.00000000,,0,,,,,,
Namgang Dam,Namgang Dam,LOC,-0.15000000,0.20000000,en,1.00000000,,1925930,S,35.16528000,128.03750000,ASIA,South Korea,EAS
Ray-Ban's,Ray-Ban's,GPE,0.00000000,0.00000000,en,1.00000000,,7505676,P,19.61636000,99.48681000,ASIA,Thailand,SAS
Italy,Italy,GPE,0.08000000,0.38500000,en,1.00000000,4027833-5,3175395,A,42.83333000,12.83333000,EUROPE-AFRICA,Italy,MED
Jeonggwang,Jeonggwang,GPE,0.25000000,0.50000000,en,1.00000000,,6577384,T,37.31556000,127.28028000,ASIA,South Korea,EAS
Gurye,Gurye,GPE,0.50000000,0.50000000,en,1.00000000,,1841975,A,35.23616000,127.50129000,ASIA,South Korea,EAS
Yeongwol,Yeongwol,GPE,0.00000000,0.40000000,en,1.00000000,,1832256,A,37.18330000,128.46150000,ASIA,South Korea,EAS
the National Oceanic,the National Oceanic,LOC,0.13333333,0.43333333,en,1.00000000,,4775488,S,38.97539000,-77.48166000,NORTH-AMERICA,United States,ENA
Pacific sea,Pacific sea,LOC,0.08333333,0.16666667,en,1.00000000,,1636628,H,0.50000000,126.00000000,ASIA,Indonesia,SEA
Samseong-dong,Samseong-dong,GPE,-0.02500000,0.35000000,en,1.00000000,,8616877,A,36.33967000,127.42630000,ASIA,South Korea,EAS
Hangang Park,Hangang Park,GPE,-0.18333333,0.33333333,en,1.00000000,,0,,,,,,
The Han River,The Han River,LOC,0.00000000,0.00000000,en,1.00000000,,4936159,P,41.70149000,-71.15505000,NORTH-AMERICA,United States,ENA
the Han River,the Han River,LOC,0.04545455,0.65151515,en,1.00000000,,4936159,P,41.70149000,-71.15505000,NORTH-AMERICA,United States,ENA
the Seine River,the Seine River,LOC,0.04545455,0.65151515,en,1.00000000,,0,,,,,,
Daejeon,Daejeon,GPE,0.16666667,0.50000000,en,1.00000000,4413933-0,1835235,P,36.34913000,127.38493000,ASIA,South Korea,EAS
the Sahara Desert,the Sahara Desert,LOC,0.05000000,0.20000000,en,1.00000000,,0,,,,,,
the Atlas Mountains,the Atlas Mountains,LOC,0.00000000,0.00000000,en,1.00000000,,5317543,T,32.35978000,-114.10522000,CENTRAL-AMERICA,United States,NCA
Sahara Desert,Sahara Desert,GPE,0.13888889,0.72777778,en,1.00000000,,0,,,,,,
Atlas Mountains,Atlas Mountains,LOC,0.11250000,0.60000000,en,1.00000000,,0,,,,,,
Ieodo,Ieodo,GPE,-0.10000000,0.40000000,en,1.00000000,,0,,,,,,
​​Ieo Island,​​Ieo Island,LOC,-0.10000000,0.40000000,en,1.00000000,,0,,,,,,
Portugal,Portugal,GPE,0.00000000,0.00000000,en,1.00000000,4046843-4,2264397,A,39.69450000,-8.13057000,EUROPE-AFRICA,Portugal,MED
Lisbon,Lisbon,GPE,0.00000000,0.00000000,en,1.00000000,4035919-0,2267057,P,38.72509000,-9.14980000,EUROPE-AFRICA,Portugal,MED
Cheoseo,Cheoseo,GPE,0.00000000,0.06666667,en,1.00000000,,0,,,,,,
OpenAI,OpenAI,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Andong,Andong,GPE,0.00000000,0.10000000,en,1.00000000,130583156X,1846986,P,36.56636000,128.72275000,ASIA,South Korea,EAS
Tree Planet,Tree Planet,LOC,0.03333333,0.06666667,en,1.00000000,,0,,,,,,
Croatia,Croatia,GPE,0.00000000,0.00000000,en,1.00000000,4073841-3,3202326,A,45.16667000,15.50000000,EUROPE,Croatia,WCE
Zagreb,Zagreb,GPE,0.00000000,0.00000000,en,1.00000000,10159443-4,3186886,P,45.81444000,15.97798000,EUROPE,Croatia,WCE
the North African,the North African,LOC,0.01166667,0.30500000,en,1.00000000,,4137464,L,38.91650000,-77.02581000,NORTH-AMERICA,United States,ENA
Nantes,Nantes,GPE,0.00000000,0.00000000,en,1.00000000,4041204-0,2990969,P,47.21725000,-1.55336000,EUROPE,France,WCE
North Africa,North Africa,GPE,0.20000000,0.40000000,en,1.00000000,7648389-7,57289,P,9.56000000,44.06500000,AFRICA,Somalia,NEAF
Sinpyeong-ri,Sinpyeong-ri,GPE,0.00000000,0.00000000,en,1.00000000,,6803316,P,37.54690000,127.21110000,ASIA,South Korea,EAS
Africa,Africa,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Tunisia,Tunisia,GPE,0.11250000,0.60000000,en,1.00000000,4061206-5,2464461,A,34.00000000,9.00000000,EUROPE-AFRICA,Tunisia,MED
Algeria,Algeria,GPE,0.11250000,0.60000000,en,1.00000000,4001179-3,2589581,A,28.00000000,3.00000000,AFRICA,Algeria,SAH
Sillim-dong,Sillim-dong,LOC,0.00000000,0.06666667,en,1.00000000,,1837346,P,37.48194000,126.93472000,ASIA,South Korea,EAS
Jungnangcheon River,Jungnangcheon River,LOC,0.08888889,0.26666667,en,1.00000000,,0,,,,,,
Bukgap,Bukgap,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Daesan-eup,Daesan-eup,GPE,-0.50000000,1.00000000,en,1.00000000,,12692134,A,37.76705000,126.48804000,ASIA,South Korea,EAS
Nam,Nam,GPE,0.00000000,0.06250000,en,1.00000000,,0,,,,,,
Lima,Lima,GPE,0.00000000,0.00000000,en,1.00000000,4035742-9,3936456,P,-12.04318000,-77.02824000,SOUTH-AMERICA,Peru,NWS
Central and South America,Central and South America,LOC,0.00000000,0.25000000,en,1.00000000,,3462116,L,-15.00000000,-52.00000000,SOUTH-AMERICA,Brazil,SAM
Dohak-dong,Dohak-dong,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Palgongsan Mountain,Palgongsan Mountain,LOC,0.00000000,0.00000000,en,1.00000000,,1839399,T,36.01705000,128.69541000,ASIA,South Korea,EAS
Palgong,Palgong,GPE,0.00000000,0.00000000,en,1.00000000,,1839400,T,35.62044000,127.46609000,ASIA,South Korea,EAS
Palgongsan,Palgongsan,GPE,0.00000000,0.00000000,en,1.00000000,,1839399,T,36.01705000,128.69541000,ASIA,South Korea,EAS
Yeongheung,Yeongheung,GPE,-0.10000000,0.33333333,en,1.00000000,,8692053,A,37.25223000,126.46570000,ASIA,South Korea,EAS
ZD Net Korea,ZD Net Korea,GPE,0.03409091,0.23863636,en,1.00000000,,0,,,,,,
Neutteul,Neutteul,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
jjijji,jjijji,GPE,0.40000000,0.40000000,en,1.00000000,,0,,,,,,
chochocho,chochocho,GPE,0.40000000,0.40000000,en,1.00000000,,1013576,P,-24.69662000,31.11382000,AFRICA,South Africa,ESAF
Yangjae,Yangjae,GPE,0.03125000,0.25000000,en,1.00000000,,6573650,P,37.47222000,127.04361000,ASIA,South Korea,EAS
Hongneung,Hongneung,GPE,0.03125000,0.25000000,en,1.00000000,,1948903,P,38.01105000,126.74586000,ASIA,North Korea,EAS
Yongsan,Yongsan,GPE,0.03125000,0.25000000,en,1.00000000,1330419367,1832311,A,37.53391000,126.97750000,ASIA,South Korea,EAS
Asia,Asia,LOC,0.09550093,0.20728200,en,1.00000000,,0,,,,,,
Singapore,Singapore,GPE,0.09550093,0.20728200,en,1.00000000,4055089-8,1880252,P,1.28967000,103.85007000,ASIA,Singapore,SEA
Pohang City,Pohang City,GPE,0.00000000,0.06250000,en,1.00000000,,0,,,,,,
Ungdo-ri,Ungdo-ri,GPE,0.00000000,0.00000000,en,1.00000000,,1867344,P,39.27139000,127.62306000,ASIA,North Korea,EAS
Northern Europe,Northern Europe,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
the Gyeokryeolbiyeoldo Island,the Gyeokryeolbiyeoldo Island,LOC,0.18750000,0.29583333,en,1.00000000,,0,,,,,,
Norway,Norway,GPE,0.04545455,0.25000000,en,1.00000000,4042640-3,3144096,A,62.00000000,10.00000000,EUROPE,Norway,NEU
Hadang-ri,Hadang-ri,GPE,0.00000000,0.00000000,en,1.00000000,,1877669,P,39.06667000,125.71667000,ASIA,North Korea,EAS
Forest,Forest,LOC,0.10714286,0.41428571,en,1.00000000,,5364514,P,33.64697000,-117.68922000,CENTRAL-AMERICA,United States,NCA
DS&G,DS&G,LOC,-0.08333333,0.03333333,en,1.00000000,,0,,,,,,
Alaska,Alaska,GPE,0.16000000,0.54000000,en,1.00000000,4001016-8,5879092,A,64.00028000,-150.00028000,NORTH-AMERICA,United States,NWN
Uljin,Uljin,GPE,0.00000000,0.00000000,en,1.00000000,4270820-5,1833762,A,36.91968000,129.31966000,ASIA,South Korea,EAS
Guntan Park,Guntan Park,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Wolmisan Mountain,Wolmisan Mountain,LOC,-0.00833333,0.39166667,en,1.00000000,,0,,,,,,
Ice Planet',Ice Planet',LOC,0.00000000,0.05625000,en,1.00000000,,0,,,,,,
Yeongjongdo,Yeongjongdo,GPE,0.02500000,0.13125000,en,1.00000000,,1832400,T,37.50054000,126.52240000,ASIA,South Korea,EAS
the Republic of Korea,the Republic of Korea,GPE,0.01948052,0.11493506,en,1.00000000,,1846799,T,34.69472000,128.60833000,ASIA,South Korea,EAS
Hanam-ri,Hanam-ri,GPE,0.00000000,0.00000000,en,1.00000000,,1840750,L,35.35000000,128.76667000,ASIA,South Korea,EAS
Cisco,Cisco,GPE,0.30000000,0.75000000,en,1.00000000,,4681521,P,32.38819000,-98.97923000,NORTH-AMERICA,United States,CNA
Gyechon-ri,Gyechon-ri,GPE,0.10000000,0.40000000,en,1.00000000,,0,,,,,,
Sugam-ri,Sugam-ri,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Cheongsong,Cheongsong,GPE,0.16000000,0.41500000,en,1.00000000,,1845519,P,36.43351000,129.05700000,ASIA,South Korea,EAS
Bugok-ri,Bugok-ri,GPE,0.16000000,0.41500000,en,1.00000000,,11114533,A,35.20482000,128.80206000,ASIA,South Korea,EAS
Sinsang,Sinsang,GPE,-0.20625000,0.48541667,en,1.00000000,,2040917,P,40.10000000,127.88333000,ASIA,North Korea,EAS
Jojong-myeon,Jojong-myeon,GPE,-0.20625000,0.48541667,en,1.00000000,,0,,,,,,
Okinawa,Okinawa,GPE,0.00000000,0.00000000,en,1.00000000,4247457-7,1856035,P,26.21300000,127.67851000,ASIA,Japan,EAS
Shinsegae,Shinsegae,GPE,0.16666667,0.39230769,en,1.00000000,,13159553,S,37.46035000,126.67302000,ASIA,South Korea,EAS
Banpo Hangang Park,Banpo Hangang Park,GPE,0.10000000,0.40000000,en,1.00000000,,0,,,,,,
PyPI,PyPI,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
East Antarctic,East Antarctic,LOC,-0.08232323,0.42297980,en,1.00000000,,0,,,,,,
India,India,GPE,0.33333333,0.66666667,en,1.00000000,4026722-2,1269750,A,22.00000000,79.00000000,ASIA,India,SAS
England,England,GPE,0.00000000,0.00000000,en,1.00000000,4014770-8,11919979,L,44.00000000,-71.00000000,NORTH-AMERICA,United States,ENA
the Jirisan trail,the Jirisan trail,LOC,0.50000000,0.50000000,en,1.00000000,,0,,,,,,
Cheongyang County Office,Cheongyang County Office,GPE,0.00000000,0.31250000,en,1.00000000,,0,,,,,,
Sejong City,Sejong City,GPE,0.00000000,0.35833333,en,1.00000000,,11523293,P,36.59245000,127.29223000,ASIA,South Korea,EAS
"the Sejong City Ministry of Climate, Energy and Environment","the Sejong City Ministry of Climate, Energy and Environment",GPE,0.03333333,0.17777778,en,1.00000000,,0,,,,,,
Cheongyang,Cheongyang,GPE,0.03333333,0.17777778,en,1.00000000,,1845490,A,36.41676000,126.79419000,ASIA,South Korea,EAS
Hawaii Island,Hawaii Island,GPE,0.26666667,0.39444444,en,1.00000000,,5855799,T,19.54814000,-155.66494000,PACIFIC,United States,NPO
Kilauea,Kilauea,GPE,0.00000000,0.00000000,en,1.00000000,4241215-8,5849346,P,22.21208000,-159.41342000,PACIFIC,United States,NPO
Kilauea Volcano,Kilauea Volcano,LOC,-0.03125000,0.15625000,en,1.00000000,,5849380,T,19.40000000,-155.28333000,PACIFIC,United States,NPO
Hawaii,Hawaii,GPE,-0.03125000,0.15625000,en,1.00000000,251184-8,5855797,A,20.78785000,-156.38612000,PACIFIC,United States,NPO
Sinpyeong-myeon,Sinpyeong-myeon,GPE,0.00000000,0.10000000,en,1.00000000,,6876922,A,35.64135000,127.23648000,ASIA,South Korea,EAS
Yeongdeungpo-gu,Yeongdeungpo-gu,GPE,0.00000000,0.00000000,en,1.00000000,,1832536,A,37.52606000,126.90308000,ASIA,South Korea,EAS
Yeongdeok-gun,Yeongdeok-gun,GPE,0.06212121,0.31818182,en,1.00000000,,1832577,A,36.48125000,129.31078000,ASIA,South Korea,EAS
Jeonju,Jeonju,GPE,-0.05555556,0.35555556,en,1.00000000,4477420-5,1845457,P,35.82194000,127.14889000,ASIA,South Korea,EAS
Landes,Landes,GPE,0.01666667,0.03333333,en,1.00000000,,3007868,L,44.25000000,-1.00000000,EUROPE-AFRICA,France,MED
Yeongdeok County,Yeongdeok County,GPE,0.00000000,0.06666667,en,1.00000000,,0,,,,,,
Bordeaux,Bordeaux,GPE,0.01666667,0.03333333,en,1.00000000,4088072-2,3031582,P,44.84124000,-0.58046000,EUROPE-AFRICA,France,MED
the Geumho River,the Geumho River,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Caravaljeda,Caravaljeda,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Gimcheon-si,Gimcheon-si,GPE,0.00000000,0.00000000,en,1.00000000,,1842944,P,36.12176000,128.11981000,ASIA,South Korea,EAS
Gimcheon,Gimcheon,GPE,-0.10000000,1.00000000,en,1.00000000,120136-0,1842944,P,36.12176000,128.11981000,ASIA,South Korea,EAS
Waryongsan Mountain,Waryongsan Mountain,LOC,-0.22500000,0.52361111,en,1.00000000,,1932592,T,35.86904000,128.51147000,ASIA,South Korea,EAS
Naeun Village,Naeun Village,GPE,-0.22500000,0.52361111,en,1.00000000,,0,,,,,,
Naeae Village,Naeae Village,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Catia Lamar,Catia Lamar,GPE,0.08500000,0.26500000,en,1.00000000,,0,,,,,,
Java Island,Java Island,GPE,0.00000000,0.00000000,en,1.00000000,,1642673,T,-7.49167000,110.00444000,ASIA,Indonesia,SEA
Heathrow-Gatwick,Heathrow-Gatwick,GPE,-0.12500000,0.37500000,en,1.00000000,,0,,,,,,
Osan-si,Osan-si,GPE,0.35714286,0.57142857,en,1.00000000,1177308509,1839652,P,37.15222000,127.07056000,ASIA,South Korea,EAS
Dandae-dong,Dandae-dong,GPE,-0.17500000,0.66666667,en,1.00000000,,8691817,A,37.45190000,127.15638000,ASIA,South Korea,EAS
Seongnam City,Seongnam City,GPE,0.10000000,0.40000000,en,1.00000000,7678885-4,1897000,P,37.43861000,127.13778000,ASIA,South Korea,EAS
Gyeonggi Province's,Gyeonggi Province's,GPE,0.10000000,0.40000000,en,1.00000000,,0,,,,,,
Caribbean,Caribbean,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Omega Bloc,Omega Bloc,LOC,-0.05500000,0.21125000,en,1.00000000,,0,,,,,,
Jangchung,Jangchung,GPE,0.00000000,0.00000000,en,1.00000000,,8692878,A,37.55279000,127.00140000,ASIA,South Korea,EAS
the Yeongdeok County Office,the Yeongdeok County Office,GPE,0.00000000,0.06666667,en,1.00000000,,0,,,,,,
the City of Seoul,the City of Seoul,GPE,0.00000000,0.00000000,en,1.00000000,,4887508,S,41.96475000,-87.72839000,NORTH-AMERICA,United States,ENA
Geumho,Geumho,GPE,0.00000000,0.06666667,en,1.00000000,,8692842,A,37.54853000,127.01909000,ASIA,South Korea,EAS
Everest,Everest,LOC,0.31875000,0.52500000,en,1.00000000,,1283416,T,27.98791000,86.92529000,ASIA,China,TIB
Hwamae,Hwamae,GPE,0.00000000,0.00000000,en,1.00000000,,6895136,L,36.51920000,129.18460000,ASIA,South Korea,EAS
Ieodo sea,Ieodo sea,LOC,0.10416667,0.70833333,en,1.00000000,,0,,,,,,
South Africa,South Africa,GPE,0.00000000,0.00000000,en,1.00000000,4078012-0,953987,A,-29.00000000,24.00000000,AFRICA,South Africa,WSAF
Central America,Central America,LOC,0.00000000,0.15833333,en,1.00000000,,0,,,,,,
the Korea-Czech Republic,the Korea-Czech Republic,GPE,0.00000000,0.15833333,en,1.00000000,,0,,,,,,
Gwanghwamun,Gwanghwamun,GPE,0.00000000,0.00000000,en,1.00000000,,10420153,S,37.57185000,126.97648000,ASIA,South Korea,EAS
Yongri,Yongri,GPE,0.00000000,0.00000000,en,1.00000000,,10264801,L,31.72856000,94.50771000,ASIA,China,TIB
Yesan County,Yesan County,GPE,0.22500000,0.47500000,en,1.00000000,,0,,,,,,
Yedang Plain,Yedang Plain,LOC,-0.07704082,0.34268707,en,1.00000000,,0,,,,,,
​​South Chungcheong Province,​​South Chungcheong Province,GPE,-0.07777778,0.17777778,en,1.00000000,,0,,,,,,
valley,valley,LOC,0.00000000,0.00000000,en,1.00000000,,3573374,P,18.21704000,-63.05783000,CENTRAL-AMERICA,Anguilla,CAR
Eumseong-gun,Eumseong-gun,GPE,0.10000000,0.40000000,en,1.00000000,,1833704,A,36.92602000,127.68070000,ASIA,South Korea,EAS
The United States Geological Survey,The United States Geological Survey,GPE,-0.10000000,0.10000000,en,1.00000000,,7708204,S,30.22500000,-92.04500000,NORTH-AMERICA,United States,CNA
the Pacific Ocean,the Pacific Ocean,LOC,0.10277778,0.45277778,en,1.00000000,,7670505,H,7.11300000,171.25400000,PACIFIC,Marshall Islands,EPO
Pacific,Pacific,LOC,0.33333333,0.66666667,en,1.00000000,,0,,,,,,
Piccadilly,Piccadilly,GPE,0.00000000,0.00000000,en,1.00000000,,2063438,P,-34.97783000,138.73020000,OCEANIA,Australia,SAU
Sejong-daero,Sejong-daero,GPE,-0.12500000,0.37500000,en,1.00000000,,0,,,,,,
Gyeongbuk Province,Gyeongbuk Province,GPE,0.00000000,0.00000000,en,1.00000000,,1841597,A,36.60000000,128.86667000,ASIA,South Korea,EAS
Chimborazo Volcano,Chimborazo Volcano,LOC,0.31875000,0.52500000,en,1.00000000,,3659238,T,-1.46952000,-78.81686000,SOUTH-AMERICA,Ecuador,NWS
Inner Mongolia,Inner Mongolia,GPE,0.06964286,0.18095238,en,1.00000000,4096284-2,2035607,A,43.50000000,114.75000000,ASIA,China,ECA
Ecuador,Ecuador,GPE,0.31875000,0.52500000,en,1.00000000,4129321-6,3658394,A,-1.25000000,-78.25000000,SOUTH-AMERICA,Ecuador,NWS
the Seomjin River,the Seomjin River,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
The Seomjin River,The Seomjin River,LOC,0.35416667,0.26666667,en,1.00000000,,0,,,,,,
the Unam River,the Unam River,LOC,0.08333333,0.50000000,en,1.00000000,,0,,,,,,
the Seomjin River Dam,the Seomjin River Dam,LOC,0.08333333,0.50000000,en,1.00000000,,0,,,,,,
​​the Seomjingang Dam,​​the Seomjingang Dam,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
riverside village,riverside village,GPE,0.00000000,0.00000000,en,1.00000000,,4522586,P,39.77978000,-84.12410000,NORTH-AMERICA,United States,ENA
Sirubawi Rock,Sirubawi Rock,LOC,0.50000000,1.00000000,en,1.00000000,,12000388,T,35.61615000,127.18515000,ASIA,South Korea,EAS
South Chungcheong,South Chungcheong,GPE,0.00000000,0.00000000,en,1.00000000,,1845759,P,36.80650000,127.15220000,ASIA,South Korea,EAS
Hongseong,Hongseong,GPE,0.00000000,0.00000000,en,1.00000000,,1844174,P,36.60090000,126.66500000,ASIA,South Korea,EAS
Ulaanbaatar,Ulaanbaatar,GPE,0.00000000,0.06666667,en,1.00000000,4061507-8,2028462,P,47.90771000,106.88324000,ASIA,Mongolia,ESB
Toub Province,Toub Province,GPE,-0.06666667,0.60000000,en,1.00000000,,12952820,A,36.71034000,6.54353000,EUROPE-AFRICA,Algeria,MED
Bayanchukt Som,Bayanchukt Som,GPE,-0.06666667,0.60000000,en,1.00000000,,0,,,,,,
Yunnan Province,Yunnan Province,GPE,0.25000000,0.25000000,en,1.00000000,,1785694,A,25.00000000,101.50000000,ASIA,China,EAS
Kunming,Kunming,GPE,0.25000000,0.25000000,en,1.00000000,4098836-3,1804651,P,25.03889000,102.71833000,ASIA,China,EAS
Gyeongju City,Gyeongju City,GPE,-0.30000000,0.30000000,en,1.00000000,,0,,,,,,
Pemba,Pemba,GPE,-0.55000000,0.95000000,en,1.00000000,4585696-5,150733,A,-5.05000000,39.76667000,AFRICA,Tanzania,SEAF
Mount Everest,Mount Everest,LOC,0.25000000,0.33333333,en,1.00000000,4040417-1,1283416,T,27.98791000,86.92529000,ASIA,China,TIB
Lake Chelan,Lake Chelan,LOC,0.10000000,0.40000000,en,1.00000000,,5800178,L,48.36653000,-120.63454000,NORTH-AMERICA,United States,WNA
